"names","vals"
"Intercept",-88.1646940114061
"V1",8.70340030873194
"V2",5.4174692928791
"V3",6.0179034830071
"V4",7.00429400196299
"V5",7.59910550899804
"V6",7.45949887670577
"V7",6.69277111068368
"V8",0.486278906464577
"V9",3.11779264360666
"V10",5.4680861113593
"V11",6.61136406240985
"V12",6.45584206096828
"V13",8.44808503286913
"V14",4.25471513066441
"V15",8.41859981417656
"V16",5.88569296756759
"V17",7.0440706401132
"V18",4.81375717325136
"V19",7.20943946624175
"V20",7.07337021129206
"V21",9.53186584170908
"V22",9.10478628706187
"V23",9.05880949692801
"V24",6.00423317402601
"V25",9.0104437363334
"V26",0
"V27",0
"V28",0
"V29",0
"V30",0
"V31",0
"V32",0
"V33",0
"V34",0
"V35",0
"V36",0
"V37",0
"V38",0
"V39",0
"V40",0
"V41",0
"V42",0
"V43",0
"V44",0
"V45",0
"V46",0
"V47",0
"V48",0
"V49",0
"V50",0
