"data","n","p","method","seconds","lambda0","num_nonzeros","which_nonzeros","auc_train","auc_test","brier_train","brier_test","med_abs","max_abs"
"sim_200_10_0_1_1_data.csv",200,10,"AnnealScore-CV",108.615456819534,0.0188019720142767,2,"2_5",0.674817481748175,0.596741854636592,0.223267110157217,0.24446503280209,0,3
"sim_200_10_0_1_1_data.csv",200,10,"RiskCD-CV",29.3887989521027,2.75975207524059e-05,5,"2_3_5_9_10",0.693969396939694,0.620401002506266,0.22001633353993,0.23759953025563,0.5,3
"sim_200_10_0_1_10_data.csv",200,10,"AnnealScore-CV",107.668913125992,5.27172204691885e-05,9,"1_2_4_5_6_7_8_9_10",0.588208820882088,0.664565826330532,0.24452624172061,0.234013242342653,2,3
"sim_200_10_0_1_10_data.csv",200,10,"RiskCD-CV",28.6796338558197,3.59158242084381e-05,9,"1_2_3_4_5_6_7_9_10",0.579157915791579,0.668967587034814,0.24512583921245,0.233853137753407,1.5,3
"sim_200_10_0_1_11_data.csv",200,10,"AnnealScore-CV",107.049675941467,0.00134158489146876,6,"2_3_4_5_6_8",0.761523752012882,0.60875,0.198139303628251,0.258875330514769,1,3
"sim_200_10_0_1_11_data.csv",200,10,"RiskCD-CV",28.2434899806976,0.000289035702980295,6,"2_3_4_5_6_8",0.752667069243156,0.6346,0.200017391981006,0.245561091742918,1.5,2
"sim_200_10_0_1_12_data.csv",200,10,"AnnealScore-CV",108.592017173767,1.57450624462979e-05,10,"1_2_3_4_5_6_7_8_9_10",0.698865917302288,0.63961396139614,0.217970314311534,0.236279527210531,1,3
"sim_200_10_0_1_12_data.csv",200,10,"RiskCD-CV",28.7592370510101,0.000231105911273398,10,"1_2_3_4_5_6_7_8_9_10",0.694650742673625,0.636263626362636,0.21887632104876,0.239386353045743,1.5,2
"sim_200_10_0_1_13_data.csv",200,10,"AnnealScore-CV",109.556174039841,3.15296289306437e-05,7,"1_2_3_6_7_9_10",0.693019301930193,0.680522208883553,0.222370517870727,0.224668511058381,1,3
"sim_200_10_0_1_13_data.csv",200,10,"RiskCD-CV",27.7491888999939,2.1480886130788e-05,6,"1_2_3_6_9_10",0.687518751875188,0.700880352140856,0.223798070207173,0.218666581896422,1,2
"sim_200_10_0_1_14_data.csv",200,10,"AnnealScore-CV",108.639757871628,0.000382533142604999,8,"1_2_3_4_5_6_8_9",0.727204484035632,0.747697135337585,0.210477811017208,0.203872543953561,1,3
"sim_200_10_0_1_14_data.csv",200,10,"RiskCD-CV",27.0655760765076,0.00561481866556787,5,"1_2_3_4_9",0.720298268441597,0.729324830448426,0.213203836262808,0.210867906171618,0.5,2
"sim_200_10_0_1_15_data.csv",200,10,"AnnealScore-CV",109.079120159149,0.00626105070865137,5,"1_3_7_8_9",0.725562023283822,0.60966096609661,0.209513864867619,0.250934340212329,0.5,2
"sim_200_10_0_1_15_data.csv",200,10,"RiskCD-CV",27.0204641819,0.000918996564470312,7,"1_3_4_6_7_8_9",0.734945804897632,0.643664366436644,0.207225525938414,0.239977959266429,1,3
"sim_200_10_0_1_16_data.csv",200,10,"AnnealScore-CV",110.26362991333,0.00975486610331441,2,"2_4",0.621594551282051,0.616937099358974,0.235526821319968,0.237000237365259,0,3
"sim_200_10_0_1_16_data.csv",200,10,"RiskCD-CV",28.0717060565948,6.64591291091044e-05,7,"1_2_3_4_5_7_10",0.646434294871795,0.601812900641026,0.232512766189464,0.243773064209628,1,3
"sim_200_10_0_1_17_data.csv",200,10,"AnnealScore-CV",107.402054071426,0.000356787016463066,6,"1_3_5_6_7_8",0.655497756017952,0.638900162337662,0.228150463384899,0.246269843148259,1.5,3
"sim_200_10_0_1_17_data.csv",200,10,"RiskCD-CV",28.5428318977356,0.000768674325221006,7,"1_3_5_6_7_8_10",0.646623827009384,0.613839285714286,0.22960796535824,0.252187663759986,1,3
"sim_200_10_0_1_18_data.csv",200,10,"AnnealScore-CV",107.718192815781,0.00279170322661881,7,"2_3_5_6_7_9_10",0.71113455934077,0.639100762745885,0.213910897905378,0.239635324305029,2,3
"sim_200_10_0_1_18_data.csv",200,10,"RiskCD-CV",26.6781578063965,8.82814074735665e-06,8,"2_3_5_6_7_8_9_10",0.697065621545573,0.608089120835006,0.215658629661142,0.248745742870698,1,2
"sim_200_10_0_1_19_data.csv",200,10,"AnnealScore-CV",107.101495981216,0.0165209290461316,4,"1_2_6_10",0.761854636591479,0.653315331533153,0.196931601408147,0.235841266486365,0,3
"sim_200_10_0_1_19_data.csv",200,10,"RiskCD-CV",26.6339190006256,0.0165209290461316,4,"1_2_6_10",0.762105263157895,0.653315331533153,0.196931601408147,0.235841266486365,0,3
"sim_200_10_0_1_2_data.csv",200,10,"AnnealScore-CV",106.748420000076,0.00110735341391034,7,"1_3_4_5_6_7_9",0.723214285714286,0.700537743506494,0.208761229609742,0.226339344258283,1.5,3
"sim_200_10_0_1_2_data.csv",200,10,"RiskCD-CV",27.6092090606689,5.13987924086921e-05,5,"3_4_5_6_7",0.707386363636364,0.668273133116883,0.2126326448381,0.236921897824995,0.5,3
