"data","n","p","method","seconds","lambda0","num_nonzeros","which_nonzeros","auc_train","auc_test","brier_train","brier_test","med_abs","max_abs"
"sim_800_80_0_1_1_data.csv",800,80,"FasterRisk-CV",4339.88561201096,25,25,"9_15_17_27_30_32_33_34_35_38_42_43_44_49_50_52_54_55_63_64_65_66_69_70_77",0.801120343105076,0.726220163876024,0.181900596279091,0.216519854307192,0,5
"sim_800_80_0_1_10_data.csv",800,80,"FasterRisk-CV",4298.79344701767,25,25,"1_3_4_6_8_10_19_20_23_25_26_27_28_37_44_46_49_55_58_59_61_73_76_77_78",0.765986836759568,0.670950730657592,0.196709041881104,0.23352083776981,0,4
"sim_800_80_0_1_11_data.csv",800,80,"FasterRisk-CV",4537.93981194496,70,69,"1_2_3_4_5_6_7_8_9_10_11_12_13_14_16_17_18_20_21_22_23_24_25_26_27_28_29_31_34_35_36_37_38_39_40_41_42_43_44_45_46_49_50_51_52_53_54_55_56_57_58_59_60_61_62_64_65_66_69_70_72_73_74_75_76_77_78_79_80",0.827371539649105,0.742801043028033,0.169664194503425,0.213686780885099,2,5
"sim_800_80_0_1_12_data.csv",800,80,"FasterRisk-CV",4354.32409214973,50,50,"3_9_10_11_12_17_18_19_21_24_25_26_28_29_30_31_32_34_35_36_37_39_40_43_44_45_46_47_48_49_50_52_54_56_57_58_60_62_64_65_66_67_68_69_71_74_75_76_78_80",0.810920614284554,0.727716086434574,0.177439202208243,0.217515896666976,2,5
"sim_800_80_0_1_13_data.csv",800,80,"FasterRisk-CV",4379.42233204842,50,50,"1_2_4_5_7_8_10_11_12_14_17_18_22_25_30_31_32_33_35_36_37_41_43_44_45_46_47_48_49_51_52_53_55_56_57_60_61_62_63_64_65_66_68_70_72_73_74_75_76_80",0.816694764945882,0.723984771573604,0.174121126328126,0.218608290161274,1,5
"sim_800_80_0_1_14_data.csv",800,80,"FasterRisk-CV",4584.69015908241,80,66,"1_2_3_4_5_6_7_8_10_11_12_13_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_32_33_34_36_37_38_39_41_42_43_44_45_47_48_49_50_52_53_54_55_56_57_62_63_64_65_67_68_69_70_74_75_76_77_78_79_80",0.835518698169301,0.722212835723762,0.165256601644941,0.2298473199422,1,5
"sim_800_80_0_1_15_data.csv",800,80,"FasterRisk-CV",4378.63626098633,65,58,"1_2_3_4_5_6_7_9_10_11_13_14_15_16_17_18_19_20_21_22_23_24_27_29_30_32_34_36_37_38_39_40_41_44_45_46_47_50_51_53_55_56_57_58_59_60_61_62_63_64_66_67_68_69_72_74_77_78",0.80408404390988,0.770615428885997,0.180354216424474,0.195922475667316,1,5
"sim_800_80_0_1_16_data.csv",800,80,"FasterRisk-CV",4357.9138109684,80,67,"1_2_3_6_7_8_10_11_13_17_18_19_20_21_22_23_24_26_27_28_29_30_31_33_34_35_36_37_39_40_41_42_43_44_45_46_47_48_49_50_51_52_53_54_55_56_57_58_59_60_61_62_63_65_66_67_68_70_71_72_73_74_75_76_77_78_80",0.788640159120335,0.740289865946379,0.186863084307864,0.210208424893009,2,5
"sim_800_80_0_1_17_data.csv",800,80,"FasterRisk-CV",4309.98892307281,40,40,"2_5_11_12_13_14_17_19_20_22_23_26_27_32_34_37_38_39_44_46_47_48_49_50_51_52_53_54_55_58_59_61_62_63_71_74_76_77_78_80",0.804320763687319,0.752971949298732,0.18005761513919,0.203565771869765,0.5,5
"sim_800_80_0_1_18_data.csv",800,80,"FasterRisk-CV",4505.49668812752,70,68,"1_2_4_6_7_8_9_10_11_13_14_16_17_18_19_20_22_23_25_26_27_28_29_30_31_32_33_34_35_36_37_38_39_40_41_42_43_44_45_46_47_48_49_50_52_53_54_55_56_59_60_62_63_64_65_66_67_68_69_70_72_73_75_76_77_78_79_80",0.832686053783615,0.711848275948432,0.166906862010469,0.228418971743662,1.5,5
"sim_800_80_0_1_19_data.csv",800,80,"FasterRisk-CV",4440.17442011833,75,64,"1_2_5_6_8_10_11_12_13_14_16_17_18_20_21_23_24_25_26_27_28_29_30_31_32_35_36_37_38_39_40_41_42_43_44_45_47_48_50_51_52_53_54_55_57_58_59_61_63_64_65_67_68_69_70_71_72_74_75_76_77_78_79_80",0.824452027825174,0.740245450169114,0.171223771167271,0.21497231069074,1,5
"sim_800_80_0_1_2_data.csv",800,80,"FasterRisk-CV",4417.10198712349,75,70,"2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_21_23_25_26_27_28_29_30_31_32_33_34_35_36_37_38_39_41_42_43_44_45_46_47_48_49_50_51_52_57_58_59_60_61_62_63_64_65_66_67_68_69_70_71_72_73_74_75_76_77_78_80",0.822183747835816,0.735382721142007,0.172068636478374,0.220193762179531,2,5
"sim_800_80_0_1_20_data.csv",800,80,"FasterRisk-CV",4343.86410903931,55,55,"1_4_5_6_7_8_9_10_11_12_14_16_17_20_21_22_23_24_25_26_27_28_29_32_33_36_37_38_40_41_42_43_45_47_49_50_51_52_54_55_56_58_59_60_63_66_67_68_70_73_74_77_78_79_80",0.782901002506266,0.719403125,0.189596580371244,0.217216178091127,1,5
"sim_800_80_0_1_21_data.csv",800,80,"FasterRisk-CV",4376.71910500526,65,60,"1_2_3_4_6_8_9_10_11_12_13_16_17_18_19_20_21_23_24_27_30_31_32_33_34_36_37_39_41_42_43_44_46_47_48_49_50_51_52_53_54_55_56_61_62_65_66_67_68_69_71_72_73_74_75_76_77_78_79_80",0.814305179666356,0.715273220457628,0.175730689833346,0.222662499867709,1,5
"sim_800_80_0_1_22_data.csv",800,80,"FasterRisk-CV",4415.44506287575,50,50,"1_4_6_7_8_9_11_12_14_15_17_18_19_20_21_24_25_26_27_30_33_34_35_36_38_40_41_42_43_44_45_47_48_49_50_53_55_57_58_59_60_67_69_73_75_76_77_78_79_80",0.817764587285785,0.744319035456731,0.173655794999781,0.209330790813645,1,5
"sim_800_80_0_1_23_data.csv",800,80,"FasterRisk-CV",4374.60776805878,65,65,"2_3_4_5_6_7_8_9_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_28_29_31_32_33_34_37_38_39_40_41_42_43_44_46_47_48_49_50_51_52_55_56_57_59_61_63_64_66_67_68_69_70_71_72_73_74_75_77_78_79_80",0.836575255102041,0.735741218992115,0.164565101284178,0.217292222394003,1,5
"sim_800_80_0_1_24_data.csv",800,80,"FasterRisk-CV",4431.46229600906,75,66,"1_2_3_4_5_6_7_8_9_10_12_13_14_15_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_32_33_34_37_38_39_40_42_43_44_45_47_48_49_50_51_53_54_55_56_57_58_59_60_61_62_64_65_66_67_68_70_71_76_77_78_80",0.816929896958783,0.718621244096071,0.174456384364384,0.223363201316891,2,5
"sim_800_80_0_1_25_data.csv",800,80,"FasterRisk-CV",4450.96657896042,80,61,"2_3_4_5_6_8_9_10_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_28_29_30_31_33_34_35_36_40_41_43_44_46_49_50_51_52_53_55_56_57_59_61_62_63_65_66_68_69_70_71_73_74_75_77_78_79_80",0.82091838015616,0.716278602970694,0.171870052612767,0.223535298011054,1,5
"sim_800_80_0_1_26_data.csv",800,80,"FasterRisk-CV",4429.80150699615,65,65,"1_2_3_4_5_6_7_9_10_11_12_13_14_15_16_19_20_23_24_25_26_27_28_29_30_31_32_33_34_35_36_37_38_40_41_42_43_44_45_47_49_50_51_52_53_54_57_59_60_61_62_66_67_68_69_70_71_72_73_74_75_76_77_78_80",0.824598903743148,0.719659465946595,0.171161805770722,0.226734587691047,2,5
"sim_800_80_0_1_27_data.csv",800,80,"FasterRisk-CV",4359.87131404877,75,58,"1_2_4_8_9_10_11_12_14_15_16_17_20_21_22_23_24_25_26_27_28_29_31_34_36_37_38_39_40_41_44_45_46_47_48_49_50_51_52_53_54_56_57_59_62_63_64_66_67_68_69_70_71_75_76_77_78_80",0.82551295777999,0.713597487346009,0.169999369102798,0.224844433295375,1,5
"sim_800_80_0_1_28_data.csv",800,80,"FasterRisk-CV",4458.44743108749,55,55,"1_3_4_7_8_10_11_12_13_14_16_17_18_19_20_21_23_24_25_28_29_30_33_34_35_38_39_40_41_42_44_45_48_49_50_51_54_55_57_59_60_61_62_65_67_69_70_71_73_74_75_76_77_78_79",0.838339587242026,0.741902315231523,0.163516728543738,0.214899416482864,2,5
"sim_800_80_0_1_29_data.csv",800,80,"FasterRisk-CV",4552.04761600494,50,50,"1_2_3_4_6_7_8_9_11_14_15_17_18_19_20_21_26_28_31_32_33_34_36_37_38_40_42_45_48_49_51_52_53_55_56_58_59_61_64_65_66_68_69_73_74_75_77_78_79_80",0.832752831120755,0.725399384984625,0.166440891670563,0.224126107669299,1,4
"sim_800_80_0_1_3_data.csv",800,80,"FasterRisk-CV",4433.38915109634,70,70,"2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_22_23_24_25_26_28_29_30_31_33_34_35_36_38_39_40_42_43_45_46_47_48_51_52_53_54_55_56_57_58_59_60_61_62_64_65_66_67_68_69_70_71_72_73_74_75_76_77_78_79_80",0.815508673230192,0.719315989879506,0.175096291448681,0.220783767832981,1.5,5
"sim_800_80_0_1_30_data.csv",800,80,"FasterRisk-CV",4374.35222601891,35,35,"1_5_6_7_8_10_13_15_17_19_21_26_29_30_31_32_33_34_35_39_41_42_44_46_47_53_56_57_60_61_65_67_69_72_73",0.818212270914339,0.71266006402561,0.173405930368341,0.223472022669788,0,5
"sim_800_80_0_1_31_data.csv",800,80,"FasterRisk-CV",4421.31008291245,70,66,"1_2_3_4_6_9_11_12_13_14_15_16_18_19_20_21_22_23_24_25_26_27_30_31_32_33_34_36_37_38_39_40_41_44_45_46_47_48_49_50_51_52_53_55_56_57_60_61_62_63_64_65_66_67_68_69_70_71_72_73_74_75_76_77_78_79",0.826492537313433,0.771040811730557,0.170028541938104,0.198360276357411,1,5
