data,n,p,method,seconds,lambda0,num_nonzeros,which_nonzeros,auc_train,auc_test,brier_train,brier_test,med_abs,max_abs
sim_200_10_0_1_1_data.csv,200,10,AnnealScore,1.208956003,0,7,2_3_4_5_8_9_10,0.703220322,0.608571429,0.216547504,0.246114472,1,5
sim_200_10_0_1_1_data.csv,200,10,AnnealScore-CV,111.5368981,0.018801972,2,2_5,0.674817482,0.596741855,0.22326711,0.244465033,0,3
sim_200_10_0_1_1_data.csv,200,10,FasterRisk,10.95758295,NA,7,2_3_4_5_8_9_10,0.703220322,0.608571429,0.216629381,0.246598385,1,5
sim_200_10_0_1_1_data.csv,200,10,FasterRisk-CV,6.281039953,5,5,2_3_4_5_10,0.698319832,0.602406015,0.217836186,0.247446337,0.5,5
sim_200_10_0_1_1_data.csv,200,10,Lasso,0.10573101,0.026409277,2,2_5,0.708270827,0.604761905,0.22018979,0.237937792,0,0.54275272
sim_200_10_0_1_1_data.csv,200,10,LR,0.002056122,NA,10,1_2_3_4_5_6_7_8_9_10,0.704270427,0.607619048,0.216008344,0.245139779,0.333622245,1.484932979
sim_200_10_0_1_1_data.csv,200,10,RiskCD,0.036934853,0,7,2_3_4_5_8_9_10,0.704720472,0.607518797,0.216581156,0.245520468,1,5
sim_200_10_0_1_1_data.csv,200,10,RiskCD-CV,27.88337183,1.28096344159764e-05,7,2_3_4_5_7_8_10,0.703570357,0.598796992,0.217531966,0.24617069,1,5
sim_200_10_0_1_1_data.csv,200,10,Rounded Lasso,0.114381075,0.026409277,2,2_5,0.674817482,0.596741855,0.224406243,0.242035603,0,5
sim_200_10_0_1_1_data.csv,200,10,Rounded LR,0.006606102,NA,7,2_3_4_5_8_9_10,0.706370637,0.615288221,0.216463581,0.243363395,1,5
sim_200_10_0_1_10_data.csv,200,10,AnnealScore,1.212416887,0,10,1_2_3_4_5_6_7_8_9_10,0.590759076,0.661564626,0.24445718,0.234517829,3.5,5
sim_200_10_0_1_10_data.csv,200,10,AnnealScore-CV,111.3102689,0.005271722,1,2,0.527052705,0.491096439,0.248852585,0.252275334,0,4
sim_200_10_0_1_10_data.csv,200,10,FasterRisk,10.89757395,NA,8,1_2_4_5_6_7_9_10,0.586908691,0.664015606,0.244635589,0.233308662,2,3
sim_200_10_0_1_10_data.csv,200,10,FasterRisk-CV,5.466956854,10,8,1_2_4_5_6_7_9_10,0.586908691,0.664015606,0.244635589,0.233308662,2,3
sim_200_10_0_1_10_data.csv,200,10,Lasso,0.085719824,0.036005952,0,,0.5,0.5,0.249975,0.249925,0,0
sim_200_10_0_1_10_data.csv,200,10,LR,0.002125025,NA,10,1_2_3_4_5_6_7_8_9_10,0.591459146,0.665866347,0.2444167,0.233777786,0.218480958,0.32756966
sim_200_10_0_1_10_data.csv,200,10,RiskCD,0.037854195,0,10,1_2_3_4_5_6_7_8_9_10,0.588358836,0.660764306,0.244562381,0.234754009,3,5
sim_200_10_0_1_10_data.csv,200,10,RiskCD-CV,27.96516395,0.005271722,1,2,0.527052705,0.491096439,0.248852585,0.252275334,0,4
sim_200_10_0_1_10_data.csv,200,10,Rounded Lasso,0.093919992,0.036005952,0,,0.5,0.5,0.249975,0.249925,0,0
sim_200_10_0_1_10_data.csv,200,10,Rounded LR,0.006840944,NA,10,1_2_3_4_5_6_7_8_9_10,0.589558956,0.670368147,0.244450999,0.23289599,3,5
sim_200_10_0_1_11_data.csv,200,10,AnnealScore,1.208505154,0,7,2_3_4_5_6_8_10,0.767461755,0.61495,0.197122264,0.254858025,2,4
sim_200_10_0_1_11_data.csv,200,10,AnnealScore-CV,110.4940701,0.002890357,6,2_3_4_5_6_8,0.765901771,0.61315,0.197293918,0.254845116,2,4
sim_200_10_0_1_11_data.csv,200,10,FasterRisk,10.94777203,NA,7,2_3_4_5_6_8_10,0.76831723,0.61795,0.197026908,0.254109312,2.5,5
sim_200_10_0_1_11_data.csv,200,10,FasterRisk-CV,6.036636114,5,5,3_4_5_6_8,0.757548309,0.6113,0.199931717,0.257901336,1,5
sim_200_10_0_1_11_data.csv,200,10,Lasso,0.095295906,0.022963065,3,3_5_6,0.763838567,0.60085,0.201628948,0.249005521,0,0.484995791
sim_200_10_0_1_11_data.csv,200,10,LR,0.002255201,NA,10,1_2_3_4_5_6_7_8_9_10,0.767512077,0.6117,0.19702343,0.255451986,0.679028107,1.424780397
sim_200_10_0_1_11_data.csv,200,10,RiskCD,0.035339832,0,8,2_3_4_5_6_7_8_10,0.760567633,0.6161,0.198386619,0.254910112,2,5
sim_200_10_0_1_11_data.csv,200,10,RiskCD-CV,27.25238991,0.006227085,7,1_3_4_5_6_8_10,0.753220612,0.6086,0.20018625,0.256659907,1.5,4
sim_200_10_0_1_11_data.csv,200,10,Rounded Lasso,0.10641098,0.022963065,3,3_5_6,0.707830113,0.54055,0.214912858,0.273163324,0,5
sim_200_10_0_1_11_data.csv,200,10,Rounded LR,0.006987095,NA,7,2_3_4_5_6_8_10,0.767008857,0.60565,0.197418434,0.258439768,2,5
sim_200_10_0_1_12_data.csv,200,10,AnnealScore,1.199645996,0,10,1_2_3_4_5_6_7_8_9_10,0.695152549,0.635113511,0.217741852,0.238061879,2,5
sim_200_10_0_1_12_data.csv,200,10,AnnealScore-CV,111.4330668,3.39217087310224e-05,10,1_2_3_4_5_6_7_8_9_10,0.695152549,0.635113511,0.217741852,0.238061879,2,5
sim_200_10_0_1_12_data.csv,200,10,FasterRisk,11.02163386,NA,10,1_2_3_4_5_6_7_8_9_10,0.698263749,0.637763776,0.217913604,0.238728994,2,5
sim_200_10_0_1_12_data.csv,200,10,FasterRisk-CV,6.81323719,10,10,1_2_3_4_5_6_7_8_9_10,0.698263749,0.637763776,0.217913604,0.238728994,2,5
sim_200_10_0_1_12_data.csv,200,10,Lasso,0.105304956,0.074122493,1,9,0.641509434,0.587308731,0.242284465,0.247310461,0,0.147336025
sim_200_10_0_1_12_data.csv,200,10,LR,0.002220154,NA,10,1_2_3_4_5_6_7_8_9_10,0.699317543,0.636813681,0.217443623,0.237763016,0.441014127,0.926900315
sim_200_10_0_1_12_data.csv,200,10,RiskCD,0.036421776,0,10,1_2_3_4_5_6_7_8_9_10,0.697009233,0.634163416,0.217864264,0.239592008,2.5,4
sim_200_10_0_1_12_data.csv,200,10,RiskCD-CV,28.15298796,0.00010727,10,1_2_3_4_5_6_7_8_9_10,0.697410678,0.642964296,0.21778764,0.237626829,2,4
sim_200_10_0_1_12_data.csv,200,10,Rounded Lasso,0.114046097,0.074122493,1,9,0.607386592,0.554805481,0.237535354,0.250134925,0,5
sim_200_10_0_1_12_data.csv,200,10,Rounded LR,0.007012129,NA,10,1_2_3_4_5_6_7_8_9_10,0.699116821,0.642514251,0.217717063,0.237191092,2,5
sim_200_10_0_1_13_data.csv,200,10,AnnealScore,0.957991123,0,8,1_2_3_6_7_8_9_10,0.696869687,0.680872349,0.222296315,0.225112938,2,5
sim_200_10_0_1_13_data.csv,200,10,AnnealScore-CV,109.197942,0.004627917,5,1_2_6_9_10,0.687568757,0.698229292,0.22386507,0.219179057,1,5
sim_200_10_0_1_13_data.csv,200,10,FasterRisk,0.385609865,NA,8,1_2_3_6_7_8_9_10,0.698069807,0.673819528,0.22228975,0.226814215,1,3
sim_200_10_0_1_13_data.csv,200,10,FasterRisk-CV,4.175217867,10,8,1_2_3_6_7_8_9_10,0.698069807,0.673819528,0.22228975,0.226814215,1,3
sim_200_10_0_1_13_data.csv,200,10,Lasso,0.042578936,0.035922196,4,1_2_6_10,0.684018402,0.697829132,0.229782709,0.227488287,0,0.368231476
sim_200_10_0_1_13_data.csv,200,10,LR,0.001988888,NA,10,1_2_3_4_5_6_7_8_9_10,0.699869987,0.681622649,0.221984104,0.22489607,0.241011858,0.769976794
