"data","n","p","method","seconds","lambda0","num_nonzeros","which_nonzeros","auc_train","auc_test","brier_train","brier_test","med_abs","max_abs"
"sim_100_25_0_1_1_data.csv",100,25,"FasterRisk-CV",1.08889698982239,9,9,"2_10_12_15_18_19_20_22_24",0.841536614645858,0.692596876807403,0.162301430686455,0.25057158710214,0,10
"sim_100_25_0_1_10_data.csv",100,25,"FasterRisk-CV",5.60023307800293,22,22,"1_2_3_4_5_6_7_9_10_12_13_14_16_17_18_19_20_21_22_23_24_25",0.858541666666667,0.710865384615385,0.149738635883238,0.247718042807987,4,10
"sim_100_25_0_1_2_data.csv",100,25,"FasterRisk-CV",0.790778160095215,9,9,"1_5_17_19_20_22_23_24_25",0.886876006441224,0.771857398873528,0.13762228498569,0.227143658836181,0,10
"sim_100_25_0_1_3_data.csv",100,25,"FasterRisk-CV",4.18596887588501,17,17,"1_2_4_5_7_8_10_11_12_15_17_19_20_21_22_23_25",0.893262987012987,0.708693425516932,0.128828571848746,0.246241944494341,2,10
"sim_100_25_0_1_4_data.csv",100,25,"FasterRisk-CV",0.658765077590942,7,7,"2_16_19_20_21_22_25",0.846417069243156,0.777446070878274,0.15696489133109,0.198364629755013,0,9
"sim_100_25_0_1_5_data.csv",100,25,"FasterRisk-CV",5.36139893531799,22,20,"1_2_3_4_5_6_7_9_10_13_15_16_17_19_20_21_22_23_24_25",0.899638699317543,0.716524767801858,0.129620525228189,0.262796130532004,3,10
"sim_100_25_0_1_6_data.csv",100,25,"FasterRisk-CV",0.903186082839966,8,8,"2_12_15_17_20_22_24_25",0.849739895958384,0.678317649318226,0.157762666935834,0.254953108206338,0,10
"sim_100_25_0_1_7_data.csv",100,25,"FasterRisk-CV",5.71624994277954,18,18,"1_2_3_4_5_6_7_13_15_16_17_18_19_20_21_22_23_24",0.932958651144119,0.731749487704918,0.103239156990468,0.269944341939304,4,9
"sim_100_25_0_1_8_data.csv",100,25,"FasterRisk-CV",3.483314037323,14,14,"4_5_7_10_14_15_16_17_20_21_22_23_24_25",0.935185185185185,0.659483862704918,0.0990245580855503,0.32100775052804,3,9
"sim_100_25_0_1_9_data.csv",100,25,"FasterRisk-CV",1.12859606742859,9,9,"5_7_8_12_19_22_23_24_25",0.812299679487179,0.651398758082069,0.177153336757708,0.255564632496821,0,9
"sim_100_25_0_3_1_data.csv",100,25,"FasterRisk-CV",1.89011907577515,12,12,"6_7_8_9_13_17_19_20_21_22_23_24",0.940376150460184,0.826171875,0.0975692222815412,0.19544233567087,0,10
"sim_100_25_0_3_10_data.csv",100,25,"FasterRisk-CV",7.09307789802551,18,18,"1_5_6_7_8_9_11_12_13_14_17_18_19_20_21_23_24_25",0.954747474747475,0.84134153373054,0.0865797077831295,0.196498400643588,3,10
"sim_100_25_0_3_2_data.csv",100,25,"FasterRisk-CV",0.0425269603729248,2,2,"19_20",0.850160256410256,0.729606278950077,0.139436487462984,0.20966955549891,0,6
"sim_100_25_0_3_3_data.csv",100,25,"FasterRisk-CV",1.99256491661072,9,9,"4_14_19_20_21_22_23_24_25",0.986916264090177,0.863108974358974,0.0444465226288579,0.192785846894598,0,10
