"data","n","p","method","seconds","lambda0","num_nonzeros","which_nonzeros","auc_train","auc_test","brier_train","brier_test","med_abs","max_abs"
"sim_100_10_0_1_1_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0153989791870117,0.157273667418164,3,"4_8_9",0.829911433172303,0.818910256410256,0.160181462146098,0.165708523374166,0,10
"sim_100_10_0_1_10_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0204389095306396,3.05158879958811e-05,9,"1_2_3_4_6_7_8_9_10",0.851866720192694,0.73163388197511,0.154965431044705,0.21547684237468,3,10
"sim_100_10_0_1_2_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0277738571166992,0.0207901866754242,6,"1_2_5_8_9_10",0.875550220088035,0.813628899835796,0.14175416065005,0.176132030044611,3,9
"sim_100_10_0_1_3_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0507979393005371,0.0364355549350244,3,"8_9_10",0.782626262626263,0.696161616161616,0.18414054774233,0.228592473303398,0,10
"sim_100_10_0_1_4_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0154199600219727,0.0652348405040161,3,"8_9_10",0.810789049919485,0.782451923076923,0.17342210958939,0.18280609942866,0,10
"sim_100_10_0_1_5_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0259931087493896,0.0740664773751682,4,"5_8_9_10",0.84621578099839,0.794283413848631,0.157076353804857,0.190249266343695,0,10
"sim_100_10_0_1_6_data.csv",100,10,"NLLCD with CV (lambda_min)",0.049415111541748,0.0510013805691998,3,"8_9_10",0.773349436392915,0.787433700530396,0.18625678324518,0.186867233295397,0,10
"sim_100_10_0_1_7_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0276429653167725,0.0267703543484968,4,"7_8_9_10",0.8546,0.7376,0.145423407524099,0.217912703859457,0,10
"sim_100_10_0_1_8_data.csv",100,10,"NLLCD with CV (lambda_min)",0.024399995803833,0.139097130766,3,"5_9_10",0.835353535353535,0.718952922077922,0.15414937522081,0.230281566152665,0,10
"sim_100_10_0_1_9_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0419909954071045,0.158359892263968,1,"10",0.631410256410256,0.629227053140097,0.224522144522145,0.228119929798251,0,10
"sim_100_10_0_3_1_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0717010498046875,0.0513245283284291,4,"3_4_8_9",0.923277243589744,0.78989898989899,0.104816499593417,0.194872209322493,0,9
"sim_100_10_0_3_10_data.csv",100,10,"NLLCD with CV (lambda_min)",0.128704786300659,0.11965896259614,2,"7_9",0.71113782051282,0.638020833333333,0.204135337800485,0.232116096994191,0,10
"sim_100_10_0_3_2_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0254409313201904,0.17800724639968,2,"8_9",0.900856793145655,0.839371980676328,0.107595294324677,0.168021466231116,0,10
"sim_100_10_0_3_3_data.csv",100,10,"NLLCD with CV (lambda_min)",0.017207145690918,0.0404901427543227,4,"5_8_9_10",0.869162640901771,0.814449917898194,0.1445891394362,0.179099949838515,0,9
"sim_100_10_0_3_4_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0283718109130859,0.000236911951423462,10,"1_2_3_4_5_6_7_8_9_10",0.950684380032206,0.818727490996399,0.0888461093442739,0.197421581698943,3.5,10
"sim_100_10_0_3_5_data.csv",100,10,"NLLCD with CV (lambda_min)",0.080941915512085,0.165496134662521,2,"9_10",0.685990338164251,0.634,0.204884342850227,0.232867432179768,0,10
"sim_100_10_0_3_6_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0235071182250977,0.00293559853524414,7,"1_2_4_7_8_9_10",0.869766505636071,0.874749096748294,0.146705263755106,0.133772470467956,3,10
"sim_100_10_0_3_7_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0172359943389893,0.00378821432997273,6,"3_5_6_8_9_10",0.85829307568438,0.799393939393939,0.147589857489528,0.198043053504742,1,10
"sim_100_10_0_3_8_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0173659324645996,0.0193375218504678,6,"2_5_7_8_9_10",0.889204545454545,0.836041666666667,0.136856644410633,0.163650589166987,4,10
"sim_100_10_0_3_9_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0866570472717285,0.0298137249908544,5,"2_6_8_9_10",0.884259259259259,0.791193181818182,0.138024400155326,0.194134173129745,2,9
"sim_100_10_0.5_1_1_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0334420204162598,0.034578285725902,2,"4_9",0.675523349436393,0.539772727272727,0.213724946868405,0.264046842383096,0,10
"sim_100_10_0.5_1_10_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0241940021514893,0.103850561461217,2,"4_5",0.832195905258932,0.764705882352941,0.155789117925547,0.199262947962873,0,10
"sim_100_10_0.5_1_2_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0222978591918945,0.0641208204351978,2,"4_5",0.776510604241697,0.785105519480519,0.185399668664822,0.182382182174883,0,10
"sim_100_10_0.5_1_3_data.csv",100,10,"NLLCD with CV (lambda_min)",0.109170913696289,0.0256864871833863,4,"1_2_4_5",0.778585858585858,0.753694581280788,0.183935854331997,0.186413870669228,0,9
"sim_100_10_0.5_1_4_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0151638984680176,0.199166666666667,2,"4_5",0.736312399355878,0.643921095008052,0.194107090528226,0.23008184016269,0,10
"sim_100_10_0.5_1_5_data.csv",100,10,"NLLCD with CV (lambda_min)",0.215970993041992,0.0521197524057043,2,"4_5",0.7404,0.772035256410256,0.195832798367648,0.182169365321336,0,10
"sim_100_10_0.5_1_6_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0518538951873779,0.00124855976561243,10,"1_2_3_4_5_6_7_8_9_10",0.775601795185638,0.638255302120848,0.190032268672766,0.255555095532001,4,10
"sim_100_10_0.5_1_7_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0211191177368164,0.181402509573647,1,"5",0.754058441558442,0.759852216748768,0.175504296698327,0.174664349401098,0,10
"sim_100_10_0.5_1_8_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0154008865356445,0.202116647153862,2,"4_5",0.861719718892104,0.838585858585859,0.137853579845039,0.155623076362096,0,10
"sim_100_10_0.5_1_9_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0210449695587158,0.0182484569146364,3,"4_5_9",0.833402232327408,0.659975913287836,0.157818312179918,0.244118470962051,0,10
"sim_100_10_0.5_3_1_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0546481609344482,0.033691142201273,3,"1_4_5",0.766013871889025,0.7368,0.181274667478481,0.211489329014164,0,10
"sim_100_10_0.5_3_10_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0381088256835938,0.165129426227344,2,"4_5",0.799278846153846,0.7612,0.164105060026403,0.199476260929767,0,10
"sim_100_10_0.5_3_2_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0166778564453125,0.0487239480683164,3,"4_5_7",0.904761904761905,0.782215977519069,0.11273590216978,0.19084864586558,0,10
"sim_100_10_0.5_3_3_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0379769802093506,0.0110655409036902,6,"1_2_3_4_5_8",0.845042151746287,0.768629807692308,0.159602512544766,0.198535342969345,2.5,10
"sim_100_10_0.5_3_4_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0339009761810303,0.0342282859350069,3,"1_4_5",0.825772782015255,0.780833333333333,0.159441075657189,0.173500087888613,0,10
"sim_100_10_0.5_3_5_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0645298957824707,2.55e-05,9,"2_3_4_5_6_7_8_9_10",0.926948051948052,0.791062801932367,0.109706343238923,0.21028273367426,2,10
"sim_100_10_0.5_3_6_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0171298980712891,0.0790569415042096,2,"4_5",0.838,0.808723489395758,0.149129593810445,0.171820200390863,0,10
"sim_100_10_0.5_3_7_data.csv",100,10,"NLLCD with CV (lambda_min)",0.030019998550415,3.38992577727429e-05,10,"1_2_3_4_5_6_7_8_9_10",0.800080289040546,0.613006824568446,0.180054996808436,0.294748557798623,5.5,10
"sim_100_10_0.5_3_8_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0227258205413818,0.000437285211484703,10,"1_2_3_4_5_6_7_8_9_10",0.859943977591037,0.825487012987013,0.152527382768248,0.16902065019862,3.5,10
"sim_100_10_0.5_3_9_data.csv",100,10,"NLLCD with CV (lambda_min)",0.0583291053771973,0.0767136048491385,2,"2_5",0.84233693477391,0.668267306922769,0.151680239880712,0.250107448943291,0,10
"sim_100_25_0_1_1_data.csv",100,25,"NLLCD with CV (lambda_min)",0.107079029083252,0.159166666666667,0,"",0.5,0.5,0.2499,0.24946,0,0
"sim_100_25_0_1_10_data.csv",100,25,"NLLCD with CV (lambda_min)",0.112568855285645,0.0631848001263454,1,"10",0.570833333333333,0.474358974358974,0.23139880952381,0.27907738095238,0,10
"sim_100_25_0_1_2_data.csv",100,25,"NLLCD with CV (lambda_min)",0.24429202079773,0.136666666666667,0,"",0.5,0.5,0.2484,0.251919999997498,0,0
"sim_100_25_0_1_3_data.csv",100,25,"NLLCD with CV (lambda_min)",0.0559120178222656,0.0635133009214557,3,"1_19_22",0.755478896103896,0.642084373599642,0.187304513580977,0.240756854495874,0,10
"sim_100_25_0_1_4_data.csv",100,25,"NLLCD with CV (lambda_min)",0.0921409130096436,0.0448137169934522,8,"16_18_19_20_21_22_24_25",0.83756038647343,0.794202619414484,0.162881560382305,0.190534549095344,0,10
"sim_100_25_0_1_5_data.csv",100,25,"NLLCD with CV (lambda_min)",0.0791010856628418,0.162419928342785,0,"",0.5,0.5,0.2491,0.253539999999426,0,0
"sim_100_25_0_1_6_data.csv",100,25,"NLLCD with CV (lambda_min)",0.164539813995361,0.130408503825237,0,"",0.5,0.5,0.2499,0.24994,0,0
"sim_100_25_0_1_7_data.csv",100,25,"NLLCD with CV (lambda_min)",0.0769119262695312,0.154718009092873,0,"",0.5,0.5,0.2491,0.25017999999986,0,0
"sim_100_25_0_1_8_data.csv",100,25,"NLLCD with CV (lambda_min)",0.0613369941711426,0.180846773694074,1,"20",0.663446054750403,0.624231557377049,0.215694444444444,0.236266203703673,0,9
"sim_100_25_0_1_9_data.csv",100,25,"NLLCD with CV (lambda_min)",0.0708658695220947,0.0553122669338856,2,"7_8",0.584334935897436,0.510754753216824,0.237413548748182,0.264942295070778,0,10
"sim_100_25_0_3_1_data.csv",100,25,"NLLCD with CV (lambda_min)",0.167870998382568,0.16084592008036,0,"",0.5,0.5,0.2499,0.24986,0,0
"sim_100_25_0_3_10_data.csv",100,25,"NLLCD with CV (lambda_min)",0.0727369785308838,0.162484149691897,0,"",0.5,0.5,0.2475,0.250899999991033,0,0
"sim_100_25_0_3_2_data.csv",100,25,"NLLCD with CV (lambda_min)",0.0947959423065186,0.171549977104791,2,"19_23",0.769030448717949,0.653757076685538,0.178675135280798,0.231092481132497,0,10
"sim_100_25_0_3_3_data.csv",100,25,"NLLCD with CV (lambda_min)",0.25274395942688,2.12181536817438e-05,21,"1_2_4_5_6_8_9_10_12_13_14_15_16_17_19_20_21_22_23_24_25",0.998188405797101,0.788205128205128,0.00899999999999999,0.26067999991485,1,10
"sim_100_25_0_3_4_data.csv",100,25,"NLLCD with CV (lambda_min)",0.0781528949737549,0.144154532166958,0,"",0.5,0.5,0.2499,0.24994,0,0
"sim_100_25_0_3_5_data.csv",100,25,"NLLCD with CV (lambda_min)",0.188820838928223,0.107782418785215,2,"22_24",0.8064,0.692879098360656,0.176340850006891,0.22865465425006,0,10
"sim_100_25_0_3_6_data.csv",100,25,"NLLCD with CV (lambda_min)",0.102445840835571,0.151590679856214,1,"23",0.607689127738735,0.54170692431562,0.224262508122157,0.269892656218791,0,9
"sim_100_25_0_3_7_data.csv",100,25,"NLLCD with CV (lambda_min)",0.341101169586182,0.0800173400864999,4,"3_19_20_22",0.858629130966952,0.791487587401373,0.144918337997647,0.201327133544378,0,9
"sim_100_25_0_3_8_data.csv",100,25,"NLLCD with CV (lambda_min)",0.121309995651245,1.70834170251417e-05,23,"1_2_3_4_5_6_8_9_10_11_12_13_15_16_17_18_19_20_21_22_23_24_25",0.990539452495974,0.799595141700405,0.0324663044392105,0.266427602046466,4,10
"sim_100_25_0_3_9_data.csv",100,25,"NLLCD with CV (lambda_min)",0.140827894210815,0.0995965487857185,6,"9_18_20_22_24_25",0.890863993385697,0.744230769230769,0.131379775154927,0.217770190824698,0,10
"sim_100_25_0.5_1_1_data.csv",100,25,"NLLCD with CV (lambda_min)",0.160899877548218,0.0735866835779409,2,"12_13",0.808523409363746,0.73456,0.163984117498545,0.205669790406617,0,9
