"data","n","p","method","seconds","lambda0","nonzeros","auc_train","auc_test","brier_train","brier_test","med_abs","max_abs"
"sim_100_10_0_1_1_data.csv",100,10,"FasterRisk",1.10100102424622,NA,9,0.886272141706924,0.8125,0.418324949790547,0.44754284662397,2,8
"sim_100_10_0_1_1_data.csv",100,10,"LR",0.0165040493011475,NA,10,0.88647342995169,0.806089743589744,0.133765848139262,0.188181693195281,0.725693044097552,2.82358095065955
"sim_100_10_0_1_1_data.csv",100,10,"Rounded LR",0.0533571243286133,NA,9,0.883252818035427,0.803084935897436,0.135754734477747,0.189763746220167,1,5
"sim_100_10_0_1_1_data.csv",100,10,"Lasso",0.687904119491577,0.0298149298509316,5,0.877214170692431,0.833333333333333,0.142289402359984,0.170903339442242,0.0556615962848638,1.33405379158613
"sim_100_10_0_1_1_data.csv",100,10,"Rounded Lasso",0.757389068603516,0.0298149298509316,4,0.848228663446055,0.802483974358974,0.155085360320546,0.176666627919374,0,3
"sim_100_10_0_1_1_data.csv",100,10,"NLLCD",0.0532541275024414,0,10,0.883454106280193,0.801081730769231,0.134726062219479,0.191819620989335,2.5,10
"sim_100_10_0_1_1_data.csv",100,10,"NLLCD with CV (lambda_min)",16.4955458641052,0.157273667418164,2,0.775563607085346,0.742788461538461,0.181679407944144,0.19773857631134,0,10
"sim_100_10_0_1_1_data.csv",100,10,"NLLCD with CV (lambda_1se)",16.4955458641052,0.230846173852618,1,0.732286634460548,0.759615384615385,0.195110044017607,0.184277446873113,0,10
"sim_100_10_0_1_10_data.csv",100,10,"FasterRisk",0.212830066680908,NA,9,0.851264552388599,0.717784022480931,0.487138839756306,0.497300799791522,1.5,5
"sim_100_10_0_1_10_data.csv",100,10,"LR",0.001129150390625,NA,10,0.853071055800883,0.727017262143718,0.15470622315391,0.218851515100656,1.01457735603001,3.08189859599319
"sim_100_10_0_1_10_data.csv",100,10,"Rounded LR",0.00338315963745117,NA,9,0.840826977117623,0.716981132075472,0.161121748829063,0.223705601299749,1,3
"sim_100_10_0_1_10_data.csv",100,10,"Lasso",0.0515139102935791,0.00964997108895751,4,0.852268165395423,0.727820152549177,0.155608887319933,0.213349845327533,0,1.2729572448507
"sim_100_10_0_1_10_data.csv",100,10,"Rounded Lasso",0.0571248531341553,0.00964997108895751,4,0.817342432757929,0.735447611401044,0.175196613321576,0.213193922235612,0,3
"sim_100_10_0_1_10_data.csv",100,10,"NLLCD",0.0418128967285156,0,9,0.852067442794058,0.72019269369731,0.156161661113821,0.222016886642818,3.5,10
