"","n","p","Lasso_AUC","RoundedLasso_AUC","RoundedLasso_nonzeros","roundedLasso_propbest","NLLCD_CV_AUC","NLLCD_CV_nonzeros","NLLCD_CV_propbest"
"1",100,10,0.827,0.796,3.1,47,0.802,4.4,53
"2",100,25,0.801,0.757,5.2,73,0.681,4.2,27
"3",100,50,0.75,0.698,6.3,70,0.671,29.2,30
"4",500,10,0.836,0.812,4,23,0.829,6.6,77
"5",500,25,0.857,0.843,9.6,33,0.851,14.1,67
"6",500,50,0.861,0.849,19.4,50,0.848,21.1,50
"7",1000,10,0.838,0.82,4.3,27,0.836,6.7,73
"8",1000,25,0.87,0.859,11.6,20,0.867,17.4,80
"9",1000,50,0.873,0.865,21.5,37,0.868,29,63
"10",5000,10,0.835,0.827,5.5,30,0.835,7.2,70
"11",5000,25,0.874,0.868,14,22,0.873,18.1,78
"12",5000,50,0.886,0.881,27.6,23,0.884,35.2,77
